Year,State,Votes
1944,Arkansas,9
1948,Arkansas,9
1952,Arkansas,8
1956,Arkansas,8
1960,Arkansas,8
1964,Arkansas,6
1968,Arkansas,6
1972,Arkansas,6
1976,Arkansas,6
1980,Arkansas,6
1984,Arkansas,6
1988,Arkansas,6
1992,Arkansas,6
1996,Arkansas,6
2000,Arkansas,6
2004,Arkansas,6
2008,Arkansas,6
2012,Arkansas,6
2016,Arkansas,6
2020,Arkansas,6
1788,California,
1792,California,
1796,California,
1800,California,
1804,California,
1808,California,
1812,California,
1816,California,
1820,California,
1824,California,
1828,California,
1832,California,
1836,California,
1840,California,
1844,California,
1848,California,
1852,California,4
1856,California,4
1860,California,4
1864,California,5
1868,California,5
1872,California,6
1876,California,6
1880,California,6
1884,California,8
1888,California,8
1892,California,9
1896,California,9
1900,California,9
1904,California,10
1908,California,10
1912,California,13
1916,California,13
1920,California,13
1924,California,13
1928,California,13
1932,California,22
1936,California,22
1940,California,22
1944,California,25
1948,California,25
1952,California,32
1956,California,32
1960,California,32
1964,California,40
1968,California,40
1972,California,45
1976,California,45
1980,California,45
1984,California,47
1988,California,47
1992,California,54
1996,California,54
2000,California,54
2004,California,55
2008,California,55
2012,California,55
2016,California,55
2020,California,55
1788,Colorado,
1792,Colorado,
1796,Colorado,
1800,Colorado,
1804,Colorado,
1808,Colorado,
1812,Colorado,
1816,Colorado,
1820,Colorado,
1824,Colorado,
1828,Colorado,
1832,Colorado,
1836,Colorado,
1840,Colorado,
1844,Colorado,
1848,Colorado,
1852,Colorado,
1856,Colorado,
1860,Colorado,
1864,Colorado,
1868,Colorado,
1872,Colorado,
1876,Colorado,3
1880,Colorado,3
1884,Colorado,3
1888,Colorado,3
1892,Colorado,4
1896,Colorado,4
1900,Colorado,4
1904,Colorado,5
1908,Colorado,5
1912,Colorado,6
1916,Colorado,6
1920,Colorado,6
1924,Colorado,6
1928,Colorado,6
1932,Colorado,6
1936,Colorado,6
1940,Colorado,6
1944,Colorado,6
1948,Colorado,6
1952,Colorado,6
1956,Colorado,6
1960,Colorado,6
1964,Colorado,6
1968,Colorado,6
1972,Colorado,7
1976,Colorado,7
1980,Colorado,7
1984,Colorado,8
1988,Colorado,8
1992,Colorado,8
1996,Colorado,8
2000,Colorado,8
2004,Colorado,9
2008,Colorado,9
2012,Colorado,9
2016,Colorado,9
2020,Colorado,9
1788,Connecticut,7
1792,Connecticut,9
1796,Connecticut,9
1800,Connecticut,9
1804,Connecticut,9
1808,Connecticut,9
1812,Connecticut,9
1816,Connecticut,9
1820,Connecticut,9
1824,Connecticut,8
1828,Connecticut,8
1832,Connecticut,8
1836,Connecticut,8
1840,Connecticut,8
1844,Connecticut,6
1848,Connecticut,6
1852,Connecticut,6
1856,Connecticut,6
1860,Connecticut,6
1864,Connecticut,6
1868,Connecticut,6
1872,Connecticut,6
1876,Connecticut,6
1880,Connecticut,6
1884,Connecticut,6
1888,Connecticut,6
1892,Connecticut,6
1896,Connecticut,6
1900,Connecticut,6
1904,Connecticut,7
1908,Connecticut,7
1912,Connecticut,7
1916,Connecticut,7
1920,Connecticut,7
1924,Connecticut,7
1928,Connecticut,7
1932,Connecticut,8
1936,Connecticut,8
1940,Connecticut,8
1944,Connecticut,8
1948,Connecticut,8
1952,Connecticut,8
1956,Connecticut,8
1960,Connecticut,8
1964,Connecticut,8
1968,Connecticut,8
1972,Connecticut,8
1976,Connecticut,8
1980,Connecticut,8
1984,Connecticut,8
1988,Connecticut,8
1992,Connecticut,8
1996,Connecticut,8
2000,Connecticut,8
2004,Connecticut,7
2008,Connecticut,7
2012,Connecticut,7
2016,Connecticut,7
2020,Connecticut,7
1788,D.C.,
1792,D.C.,
1796,D.C.,
1800,D.C.,
1804,D.C.,
1808,D.C.,
1812,D.C.,
1816,D.C.,
1820,D.C.,
1824,D.C.,
1828,D.C.,
1832,D.C.,
1836,D.C.,
1840,D.C.,
1844,D.C.,
1848,D.C.,
1852,D.C.,
1856,D.C.,
1860,D.C.,
1864,D.C.,
1868,D.C.,
1872,D.C.,
1876,D.C.,
1880,D.C.,
1884,D.C.,
1888,D.C.,
1892,D.C.,
1896,D.C.,
1900,D.C.,
1904,D.C.,
1908,D.C.,
1912,D.C.,
1916,D.C.,
1920,D.C.,
1924,D.C.,
1928,D.C.,
1932,D.C.,
1936,D.C.,
1940,D.C.,
1944,D.C.,
1948,D.C.,
1952,D.C.,
1956,D.C.,
1960,D.C.,
1964,D.C.,3
1968,D.C.,3
1972,D.C.,3
1976,D.C.,3
1980,D.C.,3
1984,D.C.,3
1988,D.C.,3
1992,D.C.,3
1996,D.C.,3
2000,D.C.,3
2004,D.C.,3
2008,D.C.,3
2012,D.C.,3
2016,D.C.,3
2020,D.C.,3
1788,Delaware,3
1792,Delaware,3
1796,Delaware,3
1800,Delaware,3
1804,Delaware,3
1808,Delaware,3
1812,Delaware,4
1816,Delaware,4
1820,Delaware,4
1824,Delaware,3
1828,Delaware,3
1832,Delaware,3
1836,Delaware,3
1840,Delaware,3
1844,Delaware,3
1848,Delaware,3
1852,Delaware,3
1856,Delaware,3
1860,Delaware,3
1864,Delaware,3
1868,Delaware,3
1872,Delaware,3
1876,Delaware,3
1880,Delaware,3
1884,Delaware,3
1888,Delaware,3
1892,Delaware,3
1896,Delaware,3
1900,Delaware,3
1904,Delaware,3
1908,Delaware,3
1912,Delaware,3
1916,Delaware,3
1920,Delaware,3
1924,Delaware,3
1928,Delaware,3
1932,Delaware,3
1936,Delaware,3
1940,Delaware,3
1944,Delaware,3
1948,Delaware,3
1952,Delaware,3
1956,Delaware,3
1960,Delaware,3
1964,Delaware,3
1968,Delaware,3
1972,Delaware,3
1976,Delaware,3
1980,Delaware,3
1984,Delaware,3
1988,Delaware,3
1992,Delaware,3
1996,Delaware,3
2000,Delaware,3
2004,Delaware,3
2008,Delaware,3
2012,Delaware,3
2016,Delaware,3
2020,Delaware,3
1788,Florida,
1792,Florida,
1796,Florida,
1800,Florida,
1804,Florida,
1808,Florida,
1812,Florida,
1816,Florida,
1820,Florida,
1824,Florida,
1828,Florida,
1832,Florida,
1836,Florida,
1840,Florida,
1844,Florida,
1848,Florida,3
1852,Florida,3
1856,Florida,3
1860,Florida,3
1864,Florida,0
1868,Florida,3
1872,Florida,4
1876,Florida,4
1880,Florida,4
1884,Florida,4
1888,Florida,4
1892,Florida,4
1896,Florida,4
1900,Florida,4
1904,Florida,5
1908,Florida,5
1912,Florida,6
1916,Florida,6
1920,Florida,6
1924,Florida,6
1928,Florida,6
1932,Florida,7
1936,Florida,7
1940,Florida,7
1944,Florida,8
1948,Florida,8
1952,Florida,10
1956,Florida,10
1960,Florida,10
1964,Florida,14
1968,Florida,14
1972,Florida,17
1976,Florida,17
1980,Florida,17
1984,Florida,21
1988,Florida,21
1992,Florida,25
1996,Florida,25
2000,Florida,25
2004,Florida,27
2008,Florida,27
2012,Florida,29
2016,Florida,29
2020,Florida,29
1788,Georgia,5
1792,Georgia,4
1796,Georgia,4
1800,Georgia,4
1804,Georgia,6
1808,Georgia,6
1812,Georgia,8
1816,Georgia,8
1820,Georgia,8
1824,Georgia,9
1828,Georgia,9
1832,Georgia,11
1836,Georgia,11
1840,Georgia,11
1844,Georgia,10
1848,Georgia,10
1852,Georgia,10
1856,Georgia,10
1860,Georgia,10
1864,Georgia,0
1868,Georgia,9
1872,Georgia,11
1876,Georgia,11
1880,Georgia,11
1884,Georgia,12
1888,Georgia,12
1892,Georgia,13
1896,Georgia,13
1900,Georgia,13
1904,Georgia,13
1908,Georgia,13
1912,Georgia,14
1916,Georgia,14
1920,Georgia,14
1924,Georgia,14
1928,Georgia,14
1932,Georgia,12
1936,Georgia,12
1940,Georgia,12
1944,Georgia,12
1948,Georgia,12
1952,Georgia,12
1956,Georgia,12
1960,Georgia,12
1964,Georgia,12
1968,Georgia,12
1972,Georgia,12
1976,Georgia,12
1980,Georgia,12
1984,Georgia,12
1988,Georgia,12
1992,Georgia,13
1996,Georgia,13
2000,Georgia,13
2004,Georgia,15
2008,Georgia,15
2012,Georgia,16
2016,Georgia,16
2020,Georgia,16
1788,Hawaii,
1792,Hawaii,
1796,Hawaii,
1800,Hawaii,
1804,Hawaii,
1808,Hawaii,
1812,Hawaii,
1816,Hawaii,
1820,Hawaii,
1824,Hawaii,
1828,Hawaii,
1832,Hawaii,
1836,Hawaii,
1840,Hawaii,
1844,Hawaii,
1848,Hawaii,
1852,Hawaii,
1856,Hawaii,
1860,Hawaii,
1864,Hawaii,
1868,Hawaii,
1872,Hawaii,
1876,Hawaii,
1880,Hawaii,
1884,Hawaii,
1888,Hawaii,
1892,Hawaii,
1896,Hawaii,
1900,Hawaii,
1904,Hawaii,
1908,Hawaii,
1912,Hawaii,
1916,Hawaii,
1920,Hawaii,
1924,Hawaii,
1928,Hawaii,
1932,Hawaii,
1936,Hawaii,
1940,Hawaii,
1944,Hawaii,
1948,Hawaii,
1952,Hawaii,
1956,Hawaii,
1960,Hawaii,3
1964,Hawaii,4
1968,Hawaii,4
1972,Hawaii,4
1976,Hawaii,4
1980,Hawaii,4
1984,Hawaii,4
1988,Hawaii,4
1992,Hawaii,4
1996,Hawaii,4
2000,Hawaii,4
2004,Hawaii,4
2008,Hawaii,4
2012,Hawaii,4
2016,Hawaii,4
2020,Hawaii,4
1788,Idaho,
1792,Idaho,
1796,Idaho,
1800,Idaho,
1804,Idaho,
1808,Idaho,
1812,Idaho,
1816,Idaho,
1820,Idaho,
1824,Idaho,
1828,Idaho,
1832,Idaho,
1836,Idaho,
1840,Idaho,
1844,Idaho,
1848,Idaho,
1852,Idaho,
1856,Idaho,
1860,Idaho,
1864,Idaho,
1868,Idaho,
1872,Idaho,
1876,Idaho,
1880,Idaho,
1884,Idaho,
1888,Idaho,
1892,Idaho,3
1896,Idaho,3
1900,Idaho,3
1904,Idaho,3
1908,Idaho,3
1912,Idaho,4
1916,Idaho,4
1920,Idaho,4
1924,Idaho,4
1928,Idaho,4
1932,Idaho,4
1936,Idaho,4
1940,Idaho,4
1944,Idaho,4
1948,Idaho,4
1952,Idaho,4
1956,Idaho,4
1960,Idaho,4
1964,Idaho,4
1968,Idaho,4
1972,Idaho,4
1976,Idaho,4
1980,Idaho,4
1984,Idaho,4
1988,Idaho,4
1992,Idaho,4
1996,Idaho,4
2000,Idaho,4
2004,Idaho,4
2008,Idaho,4
2012,Idaho,4
2016,Idaho,4
2020,Idaho,4
1788,Illinois,
1792,Illinois,
1796,Illinois,
1800,Illinois,
1804,Illinois,
1808,Illinois,
1812,Illinois,
1816,Illinois,
1820,Illinois,3
1824,Illinois,3
1828,Illinois,3
1832,Illinois,5
1836,Illinois,5
1840,Illinois,5
1844,Illinois,9
1848,Illinois,9
1852,Illinois,11
1856,Illinois,11
1860,Illinois,11
1864,Illinois,16
1868,Illinois,16
1872,Illinois,21
1876,Illinois,21
1880,Illinois,21
1884,Illinois,22
1888,Illinois,22
1892,Illinois,24
1896,Illinois,24
1900,Illinois,24
1904,Illinois,27
1908,Illinois,27
1912,Illinois,29
1916,Illinois,29
1920,Illinois,29
1924,Illinois,29
1928,Illinois,29
1932,Illinois,29
1936,Illinois,29
1940,Illinois,29
1944,Illinois,28
1948,Illinois,28
1952,Illinois,27
1956,Illinois,27
1960,Illinois,27
1964,Illinois,26
1968,Illinois,26
1972,Illinois,26
1976,Illinois,26
1980,Illinois,26
1984,Illinois,24
1988,Illinois,24
1992,Illinois,22
1996,Illinois,22
2000,Illinois,22
2004,Illinois,21
2008,Illinois,21
2012,Illinois,20
2016,Illinois,20
2020,Illinois,20
1788,Indiana,
1792,Indiana,
1796,Indiana,
1800,Indiana,
1804,Indiana,
1808,Indiana,
1812,Indiana,
1816,Indiana,3
1820,Indiana,3
1824,Indiana,5
1828,Indiana,5
1832,Indiana,9
1836,Indiana,9
1840,Indiana,9
1844,Indiana,12
1848,Indiana,12
1852,Indiana,13
1856,Indiana,13
1860,Indiana,13
1864,Indiana,13
1868,Indiana,13
1872,Indiana,15
1876,Indiana,15
1880,Indiana,15
1884,Indiana,15
1888,Indiana,15
1892,Indiana,15
1896,Indiana,15
1900,Indiana,15
1904,Indiana,15
1908,Indiana,15
1912,Indiana,15
1916,Indiana,15
1920,Indiana,15
1924,Indiana,15
1928,Indiana,15
1932,Indiana,14
1936,Indiana,14
1940,Indiana,14
1944,Indiana,13
1948,Indiana,13
1952,Indiana,13
1956,Indiana,13
1960,Indiana,13
1964,Indiana,13
1968,Indiana,13
1972,Indiana,13
1976,Indiana,13
1980,Indiana,13
1984,Indiana,12
1988,Indiana,12
1992,Indiana,12
1996,Indiana,12
2000,Indiana,12
2004,Indiana,11
2008,Indiana,11
2012,Indiana,11
2016,Indiana,11
2020,Indiana,11
1788,Iowa,
1792,Iowa,
1796,Iowa,
1800,Iowa,
1804,Iowa,
1808,Iowa,
1812,Iowa,
1816,Iowa,
1820,Iowa,
1824,Iowa,
1828,Iowa,
1832,Iowa,
1836,Iowa,
1840,Iowa,
1844,Iowa,
1848,Iowa,4
1852,Iowa,4
1856,Iowa,4
1860,Iowa,4
1864,Iowa,8
1868,Iowa,8
1872,Iowa,11
1876,Iowa,11
1880,Iowa,11
1884,Iowa,13
1888,Iowa,13
1892,Iowa,13
1896,Iowa,13
1900,Iowa,13
1904,Iowa,13
1908,Iowa,13
1912,Iowa,13
1916,Iowa,13
1920,Iowa,13
1924,Iowa,13
1928,Iowa,13
1932,Iowa,11
1936,Iowa,11
1940,Iowa,11
1944,Iowa,10
1948,Iowa,10
1952,Iowa,10
1956,Iowa,10
1960,Iowa,10
1964,Iowa,9
1968,Iowa,9
1972,Iowa,8
1976,Iowa,8
1980,Iowa,8
1984,Iowa,8
1988,Iowa,8
1992,Iowa,7
1996,Iowa,7
2000,Iowa,7
2004,Iowa,7
2008,Iowa,7
2012,Iowa,6
2016,Iowa,6
2020,Iowa,6
1788,Kansas,
1792,Kansas,
1796,Kansas,
1800,Kansas,
1804,Kansas,
1808,Kansas,
1812,Kansas,
1816,Kansas,
1820,Kansas,
1824,Kansas,
1828,Kansas,
1832,Kansas,
1836,Kansas,
1840,Kansas,
1844,Kansas,
1848,Kansas,
1852,Kansas,
1856,Kansas,
1860,Kansas,
1864,Kansas,3
1868,Kansas,3
1872,Kansas,5
1876,Kansas,5
1880,Kansas,5
1884,Kansas,9
1888,Kansas,9
1892,Kansas,10
1896,Kansas,10
1900,Kansas,10
1904,Kansas,10
1908,Kansas,10
1912,Kansas,10
1916,Kansas,10
1920,Kansas,10
1924,Kansas,10
1928,Kansas,10
1932,Kansas,9
1936,Kansas,9
1940,Kansas,9
1944,Kansas,8
1948,Kansas,8
1952,Kansas,8
1956,Kansas,8
1960,Kansas,8
1964,Kansas,7
1968,Kansas,7
1972,Kansas,7
1976,Kansas,7
1980,Kansas,7
1984,Kansas,7
1988,Kansas,7
1992,Kansas,6
1996,Kansas,6
2000,Kansas,6
2004,Kansas,6
2008,Kansas,6
2012,Kansas,6
2016,Kansas,6
2020,Kansas,6
1788,Kentucky,
1792,Kentucky,4
1796,Kentucky,4
1800,Kentucky,4
1804,Kentucky,8
1808,Kentucky,8
1812,Kentucky,12
1816,Kentucky,12
1820,Kentucky,12
1824,Kentucky,14
1828,Kentucky,14
1832,Kentucky,15
1836,Kentucky,15
1840,Kentucky,15
1844,Kentucky,12
1848,Kentucky,12
1852,Kentucky,12
1856,Kentucky,12
1860,Kentucky,12
1864,Kentucky,11
1868,Kentucky,11
1872,Kentucky,12
1876,Kentucky,12
1880,Kentucky,12
1884,Kentucky,13
1888,Kentucky,13
1892,Kentucky,13
1896,Kentucky,13
1900,Kentucky,13
1904,Kentucky,13
1908,Kentucky,13
1912,Kentucky,13
1916,Kentucky,13
1920,Kentucky,13
1924,Kentucky,13
1928,Kentucky,13
1932,Kentucky,11
1936,Kentucky,11
1940,Kentucky,11
1944,Kentucky,11
1948,Kentucky,11
1952,Kentucky,10
1956,Kentucky,10
1960,Kentucky,10
1964,Kentucky,9
1968,Kentucky,9
1972,Kentucky,9
1976,Kentucky,9
1980,Kentucky,9
1984,Kentucky,9
1988,Kentucky,9
1992,Kentucky,8
1996,Kentucky,8
2000,Kentucky,8
2004,Kentucky,8
2008,Kentucky,8
2012,Kentucky,8
2016,Kentucky,8
2020,Kentucky,8
1788,Louisiana,
1792,Louisiana,
1796,Louisiana,
1800,Louisiana,
1804,Louisiana,
1808,Louisiana,
1812,Louisiana,3
1816,Louisiana,3
1820,Louisiana,3
1824,Louisiana,5
1828,Louisiana,5
1832,Louisiana,5
1836,Louisiana,5
1840,Louisiana,5
1844,Louisiana,6
1848,Louisiana,6
1852,Louisiana,6
1856,Louisiana,6
1860,Louisiana,6
1864,Louisiana,0
1868,Louisiana,7
1872,Louisiana,8
1876,Louisiana,8
1880,Louisiana,8
1884,Louisiana,8
1888,Louisiana,8
1892,Louisiana,8
1896,Louisiana,8
1900,Louisiana,8
1904,Louisiana,9
1908,Louisiana,9
1912,Louisiana,10
1916,Louisiana,10
1920,Louisiana,10
1924,Louisiana,10
1928,Louisiana,10
1932,Louisiana,10
1936,Louisiana,10
1940,Louisiana,10
1944,Louisiana,10
1948,Louisiana,10
1952,Louisiana,10
1956,Louisiana,10
1960,Louisiana,10
1964,Louisiana,10
1968,Louisiana,10
1972,Louisiana,10
1976,Louisiana,10
1980,Louisiana,10
1984,Louisiana,10
1988,Louisiana,10
1992,Louisiana,9
1996,Louisiana,9
2000,Louisiana,9
2004,Louisiana,9
2008,Louisiana,9
2012,Louisiana,8
2016,Louisiana,8
2020,Louisiana,8
1788,Maine,
1792,Maine,
1796,Maine,
1800,Maine,
1804,Maine,
1808,Maine,
1812,Maine,
1816,Maine,
1820,Maine,9
1824,Maine,9
1828,Maine,9
1832,Maine,10
1836,Maine,10
1840,Maine,10
1844,Maine,9
1848,Maine,9
1852,Maine,8
1856,Maine,8
1860,Maine,8
1864,Maine,7
1868,Maine,7
1872,Maine,7
1876,Maine,7
1880,Maine,7
1884,Maine,6
1888,Maine,6
1892,Maine,6
1896,Maine,6
1900,Maine,6
1904,Maine,6
1908,Maine,6
1912,Maine,6
1916,Maine,6
1920,Maine,6
1924,Maine,6
1928,Maine,6
1932,Maine,5
1936,Maine,5
1940,Maine,5
1944,Maine,5
1948,Maine,5
1952,Maine,5
1956,Maine,5
1960,Maine,5
1964,Maine,4
1968,Maine,4
1972,Maine,4
1976,Maine,4
1980,Maine,4
1984,Maine,4
1988,Maine,4
1992,Maine,4
1996,Maine,4
2000,Maine,4
2004,Maine,4
2008,Maine,4
2012,Maine,4
2016,Maine,4
2020,Maine,4
1788,Maryland,8
1792,Maryland,10
1796,Maryland,10
1800,Maryland,10
1804,Maryland,11
1808,Maryland,11
1812,Maryland,11
1816,Maryland,11
1820,Maryland,11
1824,Maryland,11
1828,Maryland,11
1832,Maryland,10
1836,Maryland,10
1840,Maryland,10
1844,Maryland,8
1848,Maryland,8
1852,Maryland,8
1856,Maryland,8
1860,Maryland,8
1864,Maryland,7
1868,Maryland,7
1872,Maryland,8
1876,Maryland,8
1880,Maryland,8
1884,Maryland,8
1888,Maryland,8
1892,Maryland,8
1896,Maryland,8
1900,Maryland,8
1904,Maryland,8
1908,Maryland,8
1912,Maryland,8
1916,Maryland,8
1920,Maryland,8
1924,Maryland,8
1928,Maryland,8
1932,Maryland,8
1936,Maryland,8
1940,Maryland,8
1944,Maryland,8
1948,Maryland,8
1952,Maryland,9
1956,Maryland,9
1960,Maryland,9
1964,Maryland,10
1968,Maryland,10
1972,Maryland,10
1976,Maryland,10
1980,Maryland,10
1984,Maryland,10
1988,Maryland,10
1992,Maryland,10
1996,Maryland,10
2000,Maryland,10
2004,Maryland,10
2008,Maryland,10
2012,Maryland,10
2016,Maryland,10
2020,Maryland,10
1788,Massachusetts,10
1792,Massachusetts,16
1796,Massachusetts,16
1800,Massachusetts,16
1804,Massachusetts,19
1808,Massachusetts,19
1812,Massachusetts,22
1816,Massachusetts,22
1820,Massachusetts,15
1824,Massachusetts,15
1828,Massachusetts,15
1832,Massachusetts,14
1836,Massachusetts,14
1840,Massachusetts,14
1844,Massachusetts,12
1848,Massachusetts,12
1852,Massachusetts,13
1856,Massachusetts,13
1860,Massachusetts,13
1864,Massachusetts,12
1868,Massachusetts,12
1872,Massachusetts,13
1876,Massachusetts,13
1880,Massachusetts,13
1884,Massachusetts,14
1888,Massachusetts,14
1892,Massachusetts,15
1896,Massachusetts,15
1900,Massachusetts,15
1904,Massachusetts,16
1908,Massachusetts,16
1912,Massachusetts,18
1916,Massachusetts,18
1920,Massachusetts,18
1924,Massachusetts,18
1928,Massachusetts,18
1932,Massachusetts,17
1936,Massachusetts,17
1940,Massachusetts,17
1944,Massachusetts,16
1948,Massachusetts,16
1952,Massachusetts,16
1956,Massachusetts,16
1960,Massachusetts,16
1964,Massachusetts,14
1968,Massachusetts,14
1972,Massachusetts,14
1976,Massachusetts,14
1980,Massachusetts,14
1984,Massachusetts,13
1988,Massachusetts,13
1992,Massachusetts,12
1996,Massachusetts,12
2000,Massachusetts,12
2004,Massachusetts,12
2008,Massachusetts,12
2012,Massachusetts,11
2016,Massachusetts,11
2020,Massachusetts,11
1788,Michigan,
1792,Michigan,
1796,Michigan,
1800,Michigan,
1804,Michigan,
1808,Michigan,
1812,Michigan,
1816,Michigan,
1820,Michigan,
1824,Michigan,
1828,Michigan,
1832,Michigan,
1836,Michigan,3
1840,Michigan,3
1844,Michigan,5
1848,Michigan,5
1852,Michigan,6
1856,Michigan,6
1860,Michigan,6
1864,Michigan,8
1868,Michigan,8
1872,Michigan,11
1876,Michigan,11
1880,Michigan,11
1884,Michigan,13
1888,Michigan,13
1892,Michigan,14
1896,Michigan,14
1900,Michigan,14
1904,Michigan,14
1908,Michigan,14
1912,Michigan,15
1916,Michigan,15
1920,Michigan,15
1924,Michigan,15
1928,Michigan,15
1932,Michigan,19
1936,Michigan,19
1940,Michigan,19
1944,Michigan,19
1948,Michigan,19
1952,Michigan,20
1956,Michigan,20
1960,Michigan,20
1964,Michigan,21
1968,Michigan,21
1972,Michigan,21
1976,Michigan,21
1980,Michigan,21
1984,Michigan,20
1988,Michigan,20
1992,Michigan,18
1996,Michigan,18
2000,Michigan,18
2004,Michigan,17
2008,Michigan,17
2012,Michigan,16
2016,Michigan,16
2020,Michigan,16
1788,Minnesota,
1792,Minnesota,
1796,Minnesota,
1800,Minnesota,
1804,Minnesota,
1808,Minnesota,
1812,Minnesota,
1816,Minnesota,
1820,Minnesota,
1824,Minnesota,
1828,Minnesota,
1832,Minnesota,
1836,Minnesota,
1840,Minnesota,
1844,Minnesota,
1848,Minnesota,
1852,Minnesota,
1856,Minnesota,
1860,Minnesota,4
1864,Minnesota,4
1868,Minnesota,4
1872,Minnesota,5
1876,Minnesota,5
1880,Minnesota,5
1884,Minnesota,7
1888,Minnesota,7
1892,Minnesota,9
1896,Minnesota,9
1900,Minnesota,9
1904,Minnesota,11
1908,Minnesota,11
1912,Minnesota,12
1916,Minnesota,12
1920,Minnesota,12
1924,Minnesota,12
1928,Minnesota,12
1932,Minnesota,11
1936,Minnesota,11
1940,Minnesota,11
1944,Minnesota,11
1948,Minnesota,11
1952,Minnesota,11
1956,Minnesota,11
1960,Minnesota,11
1964,Minnesota,10
1968,Minnesota,10
1972,Minnesota,10
1976,Minnesota,10
1980,Minnesota,10
1984,Minnesota,10
1988,Minnesota,10
1992,Minnesota,10
1996,Minnesota,10
2000,Minnesota,10
2004,Minnesota,10
2008,Minnesota,10
2012,Minnesota,10
2016,Minnesota,10
